Series ID,Jan 2000,Feb 2000,Mar 2000,Apr 2000,May 2000,Jun 2000,Jul 2000,Aug 2000,Sep 2000,Oct 2000,Nov 2000,Dec 2000,Jan 2001,Feb 2001,Mar 2001,Apr 2001,May 2001,Jun 2001,Jul 2001,Aug 2001,Sep 2001,Oct 2001,Nov 2001,Dec 2001,Jan 2002,Feb 2002,Mar 2002,Apr 2002,May 2002,Jun 2002,Jul 2002,Aug 2002,Sep 2002,Oct 2002,Nov 2002,Dec 2002,Jan 2003,Feb 2003,Mar 2003,Apr 2003,May 2003,Jun 2003,Jul 2003,Aug 2003,Sep 2003,Oct 2003,Nov 2003,Dec 2003,Jan 2004,Feb 2004,Mar 2004,Apr 2004,May 2004,Jun 2004,Jul 2004,Aug 2004,Sep 2004,Oct 2004,Nov 2004,Dec 2004,Jan 2005,Feb 2005,Mar 2005,Apr 2005,May 2005,Jun 2005,Jul 2005,Aug 2005,Sep 2005,Oct 2005,Nov 2005,Dec 2005,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,Jan 2008,Feb 2008,Mar 2008,Apr 2008,May 2008,Jun 2008,Jul 2008,Aug 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015
LNS11000000,142267(1),142456,142434,142751,142388,142591,142278,142514,142518,142622,142962,143248,143800,143701,143924,143569,143318,143357,143654,143284,143989,144086,144240,144305,143883,144653,144481,144725,144938,144808,144803,145009,145552,145314,145041,145066,145937(1),146100,146022,146474,146500,147056,146485,146445,146530,146716,147000,146729,146842(1),146709,146944,146850,147065,147460,147692,147564,147415,147793,148162,148059,148029(1),148364,148391,148926,149261,149238,149432,149779,149954,150001,150065,150030,150214(1),150641,150813,150881,151069,151354,151377,151716,151662,152041,152406,152732,153144(1),152983,153051,152435,152670,153041,153054,152749,153414,153183,153835,153918,154063(1),153653,153908,153769,154303,154313,154469,154641,154570,154876,154639,154655,154210(1),154538,154133,154509,154747,154716,154502,154307,153827,153784,153878,153111,153484(1),153694,153954,154622,154091,153616,153691,154086,153975,153635,154125,153650,153314(1),153227,153377,153566,153492,153350,153276,153746,154085,153935,154089,153961,154445(1),154739,154765,154589,154899,155088,154927,154726,155060,155491,155305,155553,155825(1),155396,155026,155401,155562,155761,155632,155529,155548,154615,155304,155047,155486(1),155688,156180,155420,155629,155700,156048,156018,155845,156243,156402,156129,157180(1),157002,156906,157072,157469,157037,157106,157065, , , ,
LNS11300000,67.3,67.3,67.3,67.3,67.1,67.1,66.9,66.9,66.9,66.8,66.9,67.0,67.2,67.1,67.2,66.9,66.7,66.7,66.8,66.5,66.8,66.7,66.7,66.7,66.5,66.8,66.6,66.7,66.7,66.6,66.5,66.6,66.7,66.6,66.4,66.3,66.4,66.4,66.3,66.4,66.4,66.5,66.2,66.1,66.1,66.1,66.1,65.9,66.1,66.0,66.0,65.9,66.0,66.1,66.1,66.0,65.8,65.9,66.0,65.9,65.8,65.9,65.9,66.1,66.1,66.1,66.1,66.2,66.1,66.1,66.0,66.0,66.0,66.1,66.2,66.1,66.1,66.2,66.1,66.2,66.1,66.2,66.3,66.4,66.4,66.3,66.2,65.9,66.0,66.0,66.0,65.8,66.0,65.8,66.0,66.0,66.2,66.0,66.1,65.9,66.1,66.1,66.1,66.1,66.0,66.0,65.9,65.8,65.7,65.8,65.6,65.7,65.7,65.7,65.5,65.4,65.1,65.0,65.0,64.6,64.8,64.9,64.9,65.2,64.9,64.6,64.6,64.7,64.6,64.4,64.6,64.3,64.2,64.2,64.2,64.2,64.1,64.0,64.0,64.1,64.2,64.1,64.1,64.0,63.7,63.8,63.8,63.7,63.8,63.8,63.7,63.5,63.6,63.7,63.6,63.7,63.7,63.5,63.3,63.4,63.4,63.4,63.3,63.2,63.2,62.8,63.0,62.8,63.0,63.0,63.2,62.8,62.8,62.8,62.9,62.9,62.7,62.8,62.9,62.7,62.9,62.8,62.7,62.8,62.9,62.6,62.6,62.6, , , ,
LNS14000000,4.0,4.1,4.0,3.8,4.0,4.0,4.0,4.1,3.9,3.9,3.9,3.9,4.2,4.2,4.3,4.4,4.3,4.5,4.6,4.9,5.0,5.3,5.5,5.7,5.7,5.7,5.7,5.9,5.8,5.8,5.8,5.7,5.7,5.7,5.9,6.0,5.8,5.9,5.9,6.0,6.1,6.3,6.2,6.1,6.1,6.0,5.8,5.7,5.7,5.6,5.8,5.6,5.6,5.6,5.5,5.4,5.4,5.5,5.4,5.4,5.3,5.4,5.2,5.2,5.1,5.0,5.0,4.9,5.0,5.0,5.0,4.9,4.7,4.8,4.7,4.7,4.6,4.6,4.7,4.7,4.5,4.4,4.5,4.4,4.6,4.5,4.4,4.5,4.4,4.6,4.7,4.6,4.7,4.7,4.7,5.0,5.0,4.9,5.1,5.0,5.4,5.6,5.8,6.1,6.1,6.5,6.8,7.3,7.8,8.3,8.7,9.0,9.4,9.5,9.5,9.6,9.8,10.0,9.9,9.9,9.8,9.8,9.9,9.9,9.6,9.4,9.4,9.5,9.5,9.4,9.8,9.3,9.2,9.0,9.0,9.1,9.0,9.1,9.0,9.0,9.0,8.8,8.6,8.5,8.3,8.3,8.2,8.2,8.2,8.2,8.2,8.0,7.8,7.8,7.7,7.9,8.0,7.7,7.5,7.6,7.5,7.5,7.3,7.2,7.2,7.2,7.0,6.7,6.6,6.7,6.6,6.2,6.3,6.1,6.2,6.1,5.9,5.7,5.8,5.6,5.7,5.5,5.5,5.4,5.5,5.3,5.3,5.1, , , ,
LNS14000012,12.7,13.8,13.3,12.6,12.8,12.3,13.4,14.0,13.0,12.8,13.0,13.2,13.8,13.7,13.8,13.9,13.4,14.2,14.4,15.6,15.2,16.0,15.9,17.0,16.5,16.0,16.6,16.7,16.6,16.7,16.8,17.0,16.3,15.1,17.1,16.9,17.2,17.2,17.8,17.7,17.9,19.0,18.2,16.6,17.6,17.2,15.7,16.2,17.0,16.5,16.8,16.6,17.1,17.0,17.8,16.7,16.6,17.4,16.4,17.6,16.2,17.5,17.1,17.8,17.8,16.3,16.1,16.1,15.5,16.1,17.0,14.9,15.1,15.3,16.1,14.6,14.0,15.8,15.9,16.0,16.3,15.2,14.8,14.6,14.8,14.9,14.9,15.9,15.9,16.3,15.3,15.9,15.9,15.4,16.2,16.8,17.8,16.6,16.1,15.9,19.0,19.2,20.7,18.6,19.1,20.0,20.3,20.5,20.7,22.3,22.2,22.2,23.4,24.7,24.3,25.0,25.9,27.2,26.9,26.7,26.1,25.6,26.2,25.4,26.5,25.9,25.9,25.5,25.8,27.2,24.8,25.3,25.7,24.1,24.4,24.6,23.9,24.6,24.7,25.0,24.4,24.2,24.2,23.3,23.7,23.8,25.0,24.8,24.3,23.4,23.6,24.3,23.7,23.9,24.0,24.1,23.9,25.2,24.1,24.1,24.2,23.3,23.2,22.5,21.1,22.2,20.9,20.4,20.8,21.3,20.9,19.1,19.2,20.7,20.0,19.4,19.8,18.7,17.5,16.8,18.8,17.1,17.5,17.1,17.9,18.1,16.2,16.9, , , ,
LNS14000025,3.3,3.5,3.2,3.1,3.3,3.2,3.3,3.3,3.3,3.3,3.4,3.4,3.6,3.7,3.8,3.9,3.9,4.0,4.1,4.4,4.3,4.8,5.0,5.1,5.2,5.2,5.2,5.4,5.2,5.3,5.3,5.2,5.2,5.3,5.5,5.6,5.6,5.5,5.4,5.7,5.8,6.0,5.9,5.8,5.7,5.6,5.6,5.2,5.2,5.1,5.2,5.1,5.2,5.1,5.0,5.0,5.0,4.9,4.9,4.8,4.7,4.8,4.6,4.4,4.3,4.3,4.2,4.3,4.5,4.3,4.3,4.3,4.1,4.2,4.1,4.2,4.2,4.0,4.1,4.1,3.7,3.9,4.0,3.9,4.2,4.2,4.0,4.0,4.0,4.0,4.2,4.1,4.2,4.3,4.2,4.4,4.5,4.4,4.6,4.6,4.9,5.1,5.4,5.7,6.1,6.3,6.7,7.4,7.9,8.5,9.0,9.5,9.8,9.9,9.8,10.0,10.1,10.4,10.3,10.1,10.2,10.3,10.2,10.2,9.7,9.7,9.6,9.6,9.6,9.4,9.9,9.4,9.1,8.9,8.8,8.9,8.8,9.0,8.8,8.7,8.6,8.6,8.2,8.0,7.7,7.7,7.7,7.6,7.7,7.7,7.7,7.5,7.3,7.3,7.2,7.2,7.5,7.0,6.9,7.1,7.1,7.0,7.0,7.0,7.1,6.9,6.7,6.3,6.3,6.3,6.0,5.9,5.9,5.7,5.7,5.7,5.3,5.1,5.4,5.3,5.3,5.2,5.1,5.0,5.0,4.8,4.8,4.7, , , ,
LNS14000026,3.7,3.6,3.7,3.5,3.7,3.7,3.7,3.8,3.5,3.3,3.4,3.3,3.6,3.7,3.6,3.7,3.8,3.9,3.9,4.3,4.4,4.7,4.8,5.1,4.9,5.0,5.0,5.3,5.2,5.1,5.1,5.0,4.9,5.1,5.0,5.1,4.9,5.1,5.1,5.1,5.2,5.2,5.1,5.2,5.3,5.1,5.0,5.1,5.1,4.9,5.3,4.9,4.8,5.0,4.8,4.7,4.6,4.7,4.7,4.6,4.7,4.7,4.6,4.6,4.7,4.6,4.6,4.4,4.6,4.5,4.6,4.4,4.3,4.3,4.2,4.3,4.1,4.1,4.2,4.1,4.2,3.9,4.0,3.9,4.0,3.8,3.8,3.9,3.8,3.9,4.2,4.1,4.1,4.1,4.2,4.4,4.3,4.2,4.5,4.2,4.6,4.7,4.7,5.4,5.0,5.4,5.7,5.9,6.5,6.8,7.1,7.1,7.5,7.6,7.7,7.7,7.9,8.0,7.9,8.0,7.9,8.0,8.1,8.3,8.1,7.7,7.9,8.0,8.0,8.0,8.4,8.0,7.9,7.9,7.8,8.0,8.0,8.0,7.9,7.9,8.2,7.8,7.8,7.8,7.7,7.6,7.4,7.5,7.4,7.4,7.5,7.3,7.0,7.1,7.0,7.3,7.3,7.0,6.9,6.7,6.5,6.8,6.4,6.2,6.2,6.3,6.2,6.0,5.9,5.9,6.2,5.7,5.7,5.3,5.7,5.6,5.5,5.4,5.2,5.0,5.1,4.9,4.9,4.9,5.0,4.8,4.9,4.7, , , ,
LNS14000003,3.4,3.6,3.5,3.4,3.5,3.4,3.5,3.6,3.5,3.4,3.5,3.5,3.6,3.7,3.7,3.9,3.8,4.0,4.0,4.3,4.3,4.7,4.9,5.1,5.1,5.0,5.0,5.2,5.1,5.1,5.2,5.1,5.1,5.1,5.1,5.1,5.2,5.1,5.1,5.3,5.4,5.5,5.4,5.4,5.3,5.1,5.2,5.0,5.0,4.9,5.1,5.0,4.9,5.0,4.7,4.7,4.6,4.6,4.6,4.5,4.5,4.6,4.5,4.4,4.4,4.3,4.2,4.2,4.4,4.4,4.3,4.2,4.1,4.1,4.0,4.1,4.1,4.1,4.1,4.1,3.9,3.9,4.0,3.9,4.2,4.1,3.8,4.0,3.9,4.1,4.2,4.2,4.2,4.1,4.2,4.4,4.4,4.4,4.5,4.4,4.8,5.0,5.2,5.4,5.4,5.9,6.2,6.7,7.1,7.6,8.0,8.1,8.5,8.7,8.7,8.9,8.9,9.2,9.2,9.0,8.8,8.9,8.9,9.0,8.7,8.6,8.5,8.6,8.6,8.6,8.9,8.5,8.2,8.1,8.0,8.1,7.9,8.1,8.0,7.9,7.9,7.9,7.7,7.5,7.4,7.4,7.3,7.4,7.4,7.3,7.3,7.2,7.0,6.9,6.8,6.9,7.1,6.8,6.7,6.7,6.7,6.6,6.5,6.4,6.3,6.3,6.1,6.0,5.7,5.8,5.7,5.3,5.4,5.3,5.3,5.3,5.1,4.9,4.9,4.8,4.9,4.7,4.7,4.7,4.7,4.6,4.6,4.4, , , ,
LNS14000006,8.2,8.1,7.4,7.0,7.7,7.8,7.7,7.9,7.3,7.3,7.3,7.4,8.2,7.7,8.3,8.0,7.9,8.3,8.0,9.1,8.9,9.5,9.8,10.1,10.0,9.9,10.5,10.7,10.2,10.5,9.8,9.8,9.7,9.8,10.7,11.3,10.5,10.7,10.3,10.9,10.9,11.5,10.9,10.9,11.1,11.4,10.2,10.1,10.4,9.7,10.3,9.8,10.1,10.2,11.0,10.5,10.3,10.8,10.7,10.7,10.6,10.9,10.5,10.3,10.1,10.2,9.2,9.7,9.4,9.1,10.6,9.2,8.9,9.5,9.5,9.4,8.7,8.9,9.5,8.8,9.0,8.4,8.5,8.3,7.9,8.0,8.4,8.3,8.3,8.5,8.1,7.6,8.0,8.5,8.5,9.0,9.1,8.4,9.2,8.6,9.6,9.4,10.0,10.6,11.3,11.4,11.5,12.1,12.7,13.7,13.7,15.0,15.0,14.8,14.8,14.8,15.3,15.8,15.7,16.1,16.5,16.1,16.8,16.6,15.5,15.2,15.6,15.9,16.0,15.6,16.2,15.5,15.8,15.5,15.8,16.5,16.3,16.1,15.8,16.4,15.9,14.7,15.6,15.5,13.6,14.1,14.0,13.2,13.5,14.3,14.1,13.9,13.6,14.2,13.3,13.9,13.7,13.9,13.1,13.1,13.4,13.8,12.4,13.0,13.1,13.0,12.4,11.8,12.1,12.0,12.2,11.4,11.4,10.7,11.4,11.6,11.0,10.9,11.0,10.4,10.3,10.4,10.1,9.6,10.2,9.5,9.1,9.5, , , ,
LNS14032183, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.5,5.8,6.5,6.0,5.5,7.4,5.9,6.0,6.4,6.2,5.2,5.4,5.0,4.5,4.3,4.7,4.6,4.6,3.9,3.7,4.5,4.9,4.1,4.2,4.1,4.3,3.9,4.2,4.2,3.6,4.8,3.7,4.3,3.2,3.6,3.8,3.0,3.0,3.5,3.9,3.3,3.1,2.4,3.0,3.0,2.8,3.1,2.5,3.1,2.6,3.0,3.5,3.2,2.7,2.7,3.5,3.4,3.8,3.6,3.7,3.1,2.9,3.6,3.5,4.1,4.2,3.7,4.5,4.0,3.9,4.8,5.1,6.1,6.7,6.5,6.8,7.0,7.9,8.1,7.6,7.6,7.6,7.2,8.4,8.3,8.2,7.6,7.0,7.8,7.4,7.9,7.3,6.6,7.2,7.5,7.2,6.8,6.7,7.2,6.6,7.3,6.5,7.4,7.2,8.0,7.4,6.4,6.9,6.6,6.2,6.3,5.4,5.5,6.0,5.9,6.0,5.0,4.9,6.3,6.6,6.4,6.0,5.0,5.3,4.5,4.7,5.4,5.2,5.4,5.3,5.2,4.1,4.8,5.9,5.4,5.9,5.6,4.8,4.2,4.6,4.5,5.0,4.7,4.2,4.0,4.0,3.2,4.4,4.1,3.8,4.0,3.5, , , ,
LNS14000009,5.6,5.7,6.1,5.5,5.8,5.6,5.8,5.9,5.8,5.1,6.0,5.7,5.8,6.1,6.2,6.4,6.3,6.6,6.2,6.5,6.7,7.1,7.3,7.7,7.8,7.0,7.5,8.0,7.1,7.4,7.4,7.5,7.4,7.9,7.8,7.9,7.9,7.7,7.8,7.6,8.0,8.3,8.0,7.7,7.3,7.5,7.4,6.7,7.3,7.4,7.6,7.1,6.9,6.6,6.8,6.8,6.8,6.8,6.7,6.6,6.0,6.3,5.8,6.4,6.0,5.7,5.5,5.8,6.4,6.0,6.1,6.1,5.5,5.4,5.2,5.5,5.0,5.2,5.2,5.3,5.5,4.8,5.1,5.0,5.5,5.1,5.0,5.6,5.8,5.5,5.9,5.5,5.9,5.7,5.9,6.3,6.3,6.2,6.9,7.1,6.9,7.6,7.5,8.0,8.0,8.8,8.7,9.4,10.1,11.3,11.7,11.4,12.3,12.1,12.5,13.0,12.6,12.8,12.4,12.8,12.9,12.7,12.9,12.5,12.0,12.3,12.2,12.0,12.3,12.3,12.9,12.9,12.2,11.8,11.6,11.9,11.6,11.5,11.3,11.2,11.2,11.3,11.2,11.0,10.6,10.8,10.6,10.5,10.8,10.9,10.2,10.1,9.8,9.9,9.9,9.6,9.7,9.6,9.3,9.2,9.0,9.0,9.3,9.2,9.0,9.0,8.7,8.4,8.3,8.1,7.9,7.5,7.7,7.6,7.6,7.4,7.0,6.8,6.6,6.5,6.7,6.6,6.8,6.9,6.7,6.6,6.8,6.6, , , ,
